"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","","","","","","","","00:00:01.1164347",""
"10","Sports car manufacturer Ferrari are based where?","Luxembourg, Luxembourg","Stuttgart, Germany","Malmo, Sweden","Toulouse, France","Wolfsburg, Germany","Montevideo, Uruguay","Maranello, Italy","Madrid, Spain","Boulogne-Billancourt, France"
"","","Moderately Possitive","Highly Negative","Moderately Negative","Idle","Slightly Negative","Slightly Possitive","Moderately Negative","Highly Possitive","Idle"
"","","","","","","","","","00:00:06.9759063",""
"","","00:00:01.1804962","","","","","","","",""
"","","","00:00:00.7349083","","","","","","",""
"","","","","00:00:00.6386690","","","","","",""
"","","","","","","","00:00:00.8388582","","",""
"","","","","","","00:00:00.9228300","","","",""
"","","","","","00:00:00.8643283","","","","",""
"","","","","","","","","00:00:01.1425259","",""
"","","","","","","","","","00:00:00.9867803",""
"","","","","","","","","","","00:00:00.8809842"
"","","","","","","","","","00:00:00.5195567",""
"11","Who directed the 1983 film ET the Extra-Terrestrial?","Steven Spielberg","James Cameron","Drew Barrymore","Robin Williams","Stanley Kubrick","Martin Scorsese","Quentin Tarantino","Tom Hanks","Woody Allen"
"","","Highly Negative","Idle","Highly Possitive","Slightly Negative","Moderately Negative","Moderately Possitive","Idle","Moderately Negative","Slightly Possitive"
"","","","","","","00:00:06.7559122","","","",""
"","","","00:00:00.8782046","","","","","","",""
"","","","","00:00:01.0461508","","","","","",""
"","","","","","","","00:00:00.7080809","","",""
"","","","","","","00:00:00.9580723","","","",""
"","","","","","00:00:00.7356643","","","","",""
"","","","","","","","","00:00:00.5690636","",""
"","","","","","","","","","00:00:00.7261968",""
"","","","","","","","","","","00:00:00.7391413"
"","","","","","","00:00:00.0238485","","","",""
"","","00:00:00.2962991","","","","","","","",""
"12","What country is also known as Persia?","Iran","Saudi Arabia","Egypt","Russia","India","Lebanon","Poland","China","France"
"","","Idle","Highly Possitive","Moderately Possitive","Slightly Negative","Idle","Highly Negative","Moderately Negative","Slightly Possitive","Moderately Negative"
"","","00:00:08.2109896","","","","","","","",""
"","","","","","","","00:00:00.6301089","","",""
"","","","","","","","","","","00:00:00.6007465"
"","","","","","","","","","00:00:00.3770068",""
"","","","","","","00:00:00.4064293","","","",""
"","","","00:00:00.0224087","","","","","","",""
"","","","00:00:00.8146013","","","","","","",""
"","","","","00:00:00.7119617","","","","","",""
"13","The disease bronchitis is associated with:","Heart","Liver","Brain","Trachea","Forhead Veins","Sinuses","Lungs","Esophagus","Kidney"
"","","Slightly Negative","Highly Negative","Moderately Negative","Moderately Possitive","Idle","Moderately Negative","Highly Possitive","Idle","Slightly Possitive"
"","","","00:00:02.6227702","","","","","","",""
"","","","","","00:00:00.0438044","","","","",""
"","","","","","","","","00:00:00.9453300","",""
"14","World War I commenced in:","1953","1901","1940","1880","1899","1914","1922","1963","1958"
"","","Moderately Possitive","Highly Negative","Idle","Idle","Moderately Negative","Highly Possitive","Slightly Possitive","Slightly Negative","Moderately Negative"
"","","","","","","00:00:04.8240331","","","",""
"","","","","00:00:00.9356918","","","","","",""
"","","","","","","","00:00:01.3526243","","",""
"","","","","","","","","","","00:00:00.5153042"
"","","","","","","","","","00:00:00.2456779",""
"","","","","","","00:00:00.0691956","","","",""
"","","","","","","","00:00:00.2693999","","",""
"15","The small republic of San Marino is completely surrounded by which larger country?","Iran","Indonesia","Israel","Ireland","India","Italy","Iceland","Japan","Iraq"
"","","Highly Negative","Slightly Negative","Moderately Possitive","Slightly Possitive","Highly Possitive","Idle","Idle","Moderately Negative","Moderately Negative"
"","","","","","","","00:00:07.8057436","","",""
"","","","00:00:00.7188863","","","","","","",""
"","","","","00:00:01.0071562","","","","","",""
"","","","","","","","00:00:00.8491442","","",""
"","","","","","","00:00:01.2517831","","","",""
"","","","","","00:00:01.2813958","","","","",""
"","","","","","","","","00:00:01.0763359","",""
"","","","","","","","","","00:00:00.8017100",""
"","","","","","","","","","","00:00:01.2174055"
"","","","","","","00:00:01.7129948","","","",""
"16","What is cherry blossom known as in Japanese?","Sayonara","Sarah","Sirrah","Samurai","Sakura","Sumach","Sophora","Sonora","Sudoku"
"","","Idle","Moderately Negative","Idle","Moderately Negative","Highly Possitive","Highly Negative","Moderately Possitive","Slightly Negative","Slightly Possitive"
"","","","","","","00:00:03.0771076","","","",""
"","","","","","","","00:00:00.0887820","","",""
"","","00:00:00.7117205","","","","","","","",""
"","","","00:00:00.6940916","","","","","","",""
"","","","","00:00:00.7656684","","","","","",""
"","","","","","","","00:00:00.6998655","","",""
"","","","","","","00:00:01.2593164","","","",""
"","","","","","00:00:00.6662493","","","","",""
"","","","","","","","","00:00:01.0138131","",""
"","","","","","","","","","00:00:00.8368625",""
"","","","","","","","","","","00:00:00.7867584"
"","","","","","","00:00:01.0758640","","","",""
"17","The Spanish flag consists of which two colours?","Red and yellow","Black and red","Green and blue","Red and Blue","Yellow and green","White and yellow","Blue and yellow","Green and white","Black and green"
"","","Slightly Possitive","Idle","Slightly Negative","Moderately Negative","Idle","Moderately Possitive","Moderately Negative","Highly Negative","Highly Possitive"
"","","00:00:08.8392755","","","","","","","",""
"18","For what occupation was Jesus trained?","Haymonger","Hind","Chandler","Teacher","Carpenter","Lumberjack","Holster","Jagger","Butcher"
"","","Moderately Negative","Highly Possitive","Slightly Possitive","Moderately Possitive","Idle","Highly Negative","Idle","Moderately Negative","Slightly Negative"
"","","","","","","00:00:06.4505646","","","",""
"","","","","","00:00:01.2311072","","","","",""
"","","","","","","","","00:00:00.6435318","",""
