"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","Slightly Possitive","Highly Possitive","Idle","Moderately Negative","Highly Negative","Slightly Negative","Idle","Moderately Negative","Moderately Possitive"
"","","00:00:06.6387796","","","","","","","",""
"","","","","00:00:01.3556990","","","","","",""
"10","What do badminton players strike with their racquets?","Shuttlefrock","Shuttlehock","Shuttlechock","Shuttlecock","Shuttleblock","Shuttleflock","Shuttleknock","Shuttleshock","Shuttlemock"
"","","Moderately Negative","Moderately Negative","Idle","Highly Possitive","Moderately Possitive","Idle","Slightly Possitive","Highly Negative","Slightly Negative"
"","","","","00:00:06.0635353","","","","","",""
"","","","","","00:00:01.5788970","","","","",""
"11","Which character was lacking a heart in The Wizard of Oz?","Glinda","The Tin Man","Wicked witch","Toto","The wizard","Angry apple tree","The Lion","Dorothy","The Scarecrow"
"","","Highly Possitive","Slightly Possitive","Highly Negative","Moderately Negative","Idle","Idle","Moderately Negative","Slightly Negative","Moderately Possitive"
"","","","","","00:00:04.6407280","","","","",""
"","","","","","","","","","","00:00:02.0829938"
"","","","","","","","00:00:00.1548941","","",""
"","","","00:00:01.5989918","","","","","","",""
"","","","","","","00:00:00.0848822","","","",""
"","","","","","","","","00:00:02.4386284","",""
"","","","00:00:01.7444893","","","","","","",""
"12","Who directed 2001 A Space Odyssey?","Stanley Kubrick","Tom Hanks","Woody Allen","Martin Scorsese","Quentin Tarantino","Robin Williams","Steven Spielberg","James Cameron","Drew Barrymore"
"","","Highly Negative","Moderately Negative","Idle","Highly Possitive","Slightly Negative","Moderately Negative","Moderately Possitive","Slightly Possitive","Idle"
"","","","00:00:03.6084271","","","","","","",""
"","","","00:00:01.9700838","","","","","","",""
"","","","","00:00:01.4716488","","","","","",""
"","","","00:00:00.0914835","","","","","","",""
"","","00:00:00.2237652","","","","","","","",""
"","","00:00:01.1976220","","","","","","","",""
"","","","","","00:00:00.2634347","","","","",""
"","","","","","","00:00:01.3127722","","","",""
"","","","","","","","00:00:01.2320191","","",""
"","","","","","","","","","","00:00:00.7797376"
"","","","","","","","","","00:00:01.6709709",""
"13","Who directed Reservoir Dogs?","Tom Hanks","Robin Williams","Woody Allen","Quentin Tarantino","Martin Scorsese","James Cameron","Stanley Kubrick","Steven Spielberg","Drew Barrymore"
"","","Idle","Slightly Negative","Slightly Possitive","Highly Possitive","Moderately Negative","Moderately Possitive","Idle","Moderately Negative","Highly Negative"
"","","","","","","","","","00:00:03.3198342",""
"","","","","","","","","00:00:02.0196458","",""
"","","","","","","","","","00:00:02.3076336",""
"","","","","","","00:00:01.8421567","","","",""
"","","","","","","","","","00:00:01.7510267",""
"","","","","","00:00:01.9095057","","","","",""
"","","00:00:01.2170347","","","","","","","",""
"","","","","00:00:02.1853521","","","","","",""
"","","","","","","","00:00:02.1758993","","",""
"","","","","","","00:00:00.0217960","","","",""
"","","","","","00:00:00.1989425","","","","",""
"14","Which one is used to make Vodka?","Strawberries","Oranges","Wheat","Potatoes","Lemons","Pearl","Grapes","Blackberry","Apples"
"","","Highly Possitive","Idle","Slightly Negative","Slightly Possitive","Moderately Possitive","Highly Negative","Idle","Moderately Negative","Moderately Negative"
"","","","","","00:00:03.9104972","","","","",""
"","","","","00:00:01.6411478","","","","","",""
"15","Which of the following is widely used to make beer?","Apples","Pearl","Grapes","Blackberry","Oranges","Potatoes","Wheat","Strawberries","Lemons"
"","","Moderately Negative","Idle","Idle","Highly Negative","Slightly Possitive","Moderately Negative","Moderately Possitive","Slightly Negative","Highly Possitive"
"","","","","00:00:04.2777147","","","","","",""
"","","","","","00:00:00.0787599","","","","",""
"","","","","","","","","00:00:00.1964319","",""
"16","Where is Acropolis located at?","Mexico","Spain","Greece","Italy","Turkey","France","Syria","Iran","Lebanon"
"","","Idle","Idle","Moderately Negative","Slightly Possitive","Highly Negative","Moderately Negative","Slightly Negative","Moderately Possitive","Highly Possitive"
"","","","","","","","","00:00:04.4613331","",""
"","","","","","","","00:00:00.1318689","","",""
"","","","","00:00:00.1260885","","","","","",""
"","","","","00:00:01.3521262","","","","","",""
"","","","","","","","00:00:01.6029892","","",""
"","","","","00:00:01.4359777","","","","","",""
"","","","00:00:01.0867721","","","","","","",""
"","","","","","","00:00:01.4478441","","","",""
"","","","","","00:00:01.5579961","","","","",""
"","","00:00:01.1960187","","","","","","","",""
"","","","","","","","","00:00:01.4338231","",""
"","","","","","","","","","00:00:02.8899965",""
"","","","","","","","","","","00:00:00.8730360"
"","","","","","","","","","00:00:00.4922222",""
"17","Samsung Electronics is a company from which country?","Malaysia","Thailand","South Korea","Indonesia","Hong Kong","China","Vietnam","Taiwan","Japan"
"","","Slightly Negative","Moderately Negative","Moderately Negative","Highly Negative","Highly Possitive","Moderately Possitive","Idle","Slightly Possitive","Idle"
"","","","","","00:00:04.5096981","","","","",""
"","","","","00:00:00.0223308","","","","","",""
"","","","","","","","00:00:00.0433015","","",""
"","","","","","","","","","","00:00:00.1319821"
"","","","","","","","","","00:00:02.0416015",""
"","","","","","","","","","","00:00:01.1349418"
"","","","","","","","","","00:00:00.9271369",""
