"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","","","00:00:01.0438238","","","","","",""
"","","","","","","","00:00:00.6677246","","",""
"","","","","","","","","","","00:00:00.6684624"
"","","","","","","","","","00:00:00.4025824",""
"","","","","","","00:00:01.1077535","","","",""
"","","00:00:00.3933447","","","","","","","",""
"13","The disease bronchitis is associated with:","Sinuses","Kidney","Trachea","Liver","Forhead Veins","Brain","Esophagus","Lungs","Heart"
"","","Idle","Idle","Highly Negative","Moderately Possitive","Highly Possitive","Moderately Negative","Slightly Negative","Slightly Possitive","Moderately Negative"
"","","","","","00:00:06.0784913","","","","",""
"","","","","","","00:00:00.0211071","","","",""
"","","","","00:00:03.0610945","","","","","",""
"","","","","","","","00:00:00.5306918","","",""
"","","","","","","","","","00:00:00.9970190",""
"","","","","","","00:00:00.0230127","","","",""
"","","00:00:00.7941314","","","","","","","",""
"","","","","","00:00:00.7128148","","","","",""
"","","","","","","00:00:00.8802635","","","",""
"","","","","","","","","","00:00:00.8877891",""
"14","World War I commenced in:","1901","1963","1958","1922","1880","1953","1940","1899","1914"
"","","Moderately Possitive","Idle","Moderately Negative","Highly Negative","Idle","Slightly Negative","Highly Possitive","Slightly Possitive","Moderately Negative"
"","","","","","","","","","00:00:04.9322087",""
"","","","","","","","","","","00:00:01.1466850"
"15","The small republic of San Marino is completely surrounded by which larger country?","India","Israel","Iran","Iraq","Indonesia","Ireland","Iceland","Japan","Italy"
"","","Idle","Slightly Negative","Moderately Possitive","Slightly Possitive","Idle","Moderately Negative","Moderately Negative","Highly Possitive","Highly Negative"
"","","","","","","","","","","00:00:02.3403936"
"","","","","","","","","","00:00:00.0714757",""
"","","","","","00:00:00.0435930","","","","",""
"","","00:00:03.9967630","","","","","","","",""
"","","","","","00:00:00.0233702","","","","",""
"","","","","","","00:00:00.0452345","","","",""
"","","","","","","","00:00:00.0947675","","",""
"","","","","","","","","","","00:00:00.8257495"
"16","What is cherry blossom known as in Japanese?","Sakura","Samurai","Sarah","Sophora","Sayonara","Sonora","Sumach","Sudoku","Sirrah"
"","","Highly Possitive","Idle","Idle","Slightly Possitive","Moderately Possitive","Slightly Negative","Highly Negative","Moderately Negative","Moderately Negative"
"","","","","","","","","00:00:06.1753711","",""
"","","00:00:01.4660253","","","","","","","",""
"","","","","","00:00:00.7352836","","","","",""
"","","","","","","","","00:00:00.6665316","",""
"","","","","","","","","","00:00:00.6080711",""
"","","","","","","","","","","00:00:00.6049399"
"","","","","","","","00:00:00.4655521","","",""
"","","","","00:00:00.4077045","","","","","",""
"","","","00:00:00.3800964","","","","","","",""
"","","","","","","00:00:00.3838715","","","",""
"","","00:00:00.3345870","","","","","","","",""
"17","The Spanish flag consists of which two colours?","Red and yellow","Yellow and green","Red and Blue","Blue and yellow","Green and white","Black and green","Green and blue","Black and red","White and yellow"
"","","Idle","Moderately Negative","Moderately Possitive","Idle","Highly Possitive","Highly Negative","Moderately Negative","Slightly Possitive","Slightly Negative"
"","","00:00:08.0080312","","","","","","","",""
"","","","","","00:00:00.4629614","","","","",""
"","","","","","","","","","00:00:00.4550440",""
"","","","","","","","00:00:00.0434716","","",""
"","","","","00:00:01.8966166","","","","","",""
"","","","","","","","00:00:00.3006907","","",""
"","","","","","","","","","00:00:00.5799751",""
"","","","","","00:00:00.4159581","","","","",""
"","","00:00:04.4658907","","","","","","","",""
"","","","","","00:00:00.0237560","","","","",""
"","","","","","","00:00:00.0539127","","","",""
"","","","","","","00:00:01.2077940","","","",""
"","","","00:00:00.5604725","","","","","","",""
"","","","","","","00:00:00.0211290","","","",""
"","","","","","","00:00:00.8290205","","","",""
"18","For what occupation was Jesus trained?","Carpenter","Hind","Haymonger","Jagger","Chandler","Teacher","Lumberjack","Butcher","Holster"
"","","Slightly Negative","Slightly Possitive","Highly Possitive","Idle","Moderately Negative","Moderately Negative","Moderately Possitive","Highly Negative","Idle"
"","","","","","","","","","00:00:06.0684004",""
"","","","","","00:00:00.0439407","","","","",""
"","","00:00:00.8549852","","","","","","","",""
"","","","00:00:00.9630317","","","","","","",""
"","","","","","","00:00:00.6200157","","","",""
"","","","","","","","00:00:00.5526321","","",""
"","","00:00:00.7300032","","","","","","","",""
"19","What is the capital of the Taiwan?","Taipei","Jakarta","Kuala Lumpur","Lhasa","Kathmandu","Hanoi","Dhaka","Manila","Bangkok"
"","","Moderately Negative","Idle","Slightly Negative","Moderately Negative","Highly Possitive","Highly Negative","Idle","Slightly Possitive","Moderately Possitive"
"","","","","","","","","00:00:03.5116997","",""
"","","","","","00:00:00.0676724","","","","",""
"","","00:00:00.6921524","","","","","","","",""
"","","","","","00:00:00.7372438","","","","",""
"","","","","","","","","00:00:00.8715093","",""
"","","","","","","","","","00:00:00.4985458",""
"","","","","","","00:00:00.5863436","","","",""
"","","","00:00:01.0310055","","","","","","",""
"","","00:00:00.2867195","","","","","","","",""
"20","In which country will you find Machu Picchu?","Peru","Uraguay","Mexico","Paraguay","Brazil","Argentina","Chile","Ecuador","Colombia"
"","","Moderately Possitive","Highly Negative","Idle","Highly Possitive","Moderately Negative","Moderately Negative","Idle","Slightly Possitive","Slightly Negative"
"","","","","","","","","00:00:07.3308077","",""
"","","00:00:00.0906276","","","","","","","",""
"","","00:00:01.4160896","","","","","","","",""
"","","","00:00:00.5945382","","","","","","",""
"","","","","00:00:00.4982161","","","","","",""
"","","","","","","","00:00:00.4088394","","",""
"","","","","","","","","","","00:00:00.3379940"
"","","","","","","","","","00:00:00.3610800",""
"","","","","","","00:00:00.3157822","","","",""
"","","","","","00:00:00.3329807","","","","",""
"","","00:00:00.9613509","","","","","","","",""
"21","Which tree grows from an acorn?","Larch","Elm","Oak","Lime","Pine","Birch","Hawthorn","Ash","Maple"
"","","Idle","Highly Possitive","Moderately Negative","Slightly Possitive","Highly Negative","Slightly Negative","Moderately Possitive","Idle","Moderately Negative"
"","","","","","","","","00:00:05.9425697","",""
"","","","","","","00:00:00.0272691","","","",""
"","","","","00:00:03.2922491","","","","","",""
"","","","","","","00:00:01.5132886","","","",""
"","","","","","","","00:00:01.2497785","","",""
"","","","","00:00:00.7520201","","","","","",""
"","","","00:00:00.4128642","","","","","","",""
"","","","","00:00:00.9051538","","","","","",""
"22","Name the country which is the craddle of western classic music, known as The land of music?","England","United States","Belgium","Switzerland","Austria","Sweden","France","Netherlands","Germany"
"","","Slightly Negative","Moderately Negative","Idle","Highly Possitive","Moderately Possitive","Slightly Possitive","Idle","Moderately Negative","Highly Negative"
"","","","","","","","00:00:12.1397106","","",""
"","","","","","","","","00:00:03.1497799","",""
"","","","","","","00:00:00.2524684","","","",""
"","","","","","","00:00:00.0218862","","","",""
"","","","","","","","","","00:00:00.0489853",""
"","","","","","","","","00:00:00.5664672","",""
"","","","","","","","","","00:00:00.0229640",""
