"ID","Question","Option1","Option2","Option3","Option4","Option5","Option6","Option7","Option8","Option9"
"","","","","","","","","","00:00:01.0426197",""
"","","","","","","","","","","00:00:01.1152500"
"","","","","","","00:00:00.0226046","","","",""
"","","00:00:01.6365921","","","","","","","",""
"","","","00:00:01.2591653","","","","","","",""
"10","Sports car manufacturer Ferrari are based where?","Stuttgart, Germany","Boulogne-Billancourt, France","Maranello, Italy","Luxembourg, Luxembourg","Toulouse, France","Wolfsburg, Germany","Madrid, Spain","Montevideo, Uruguay","Malmo, Sweden"
"","","Slightly Possitive","Highly Negative","Highly Possitive","Slightly Negative","Moderately Possitive","Moderately Negative","Moderately Negative","Idle","Idle"
"","","","00:00:04.3989533","","","","","","",""
"","","00:00:02.6593830","","","","","","","",""
"","","","00:00:01.5023595","","","","","","",""
"","","","","00:00:02.3683476","","","","","",""
"","","","","","00:00:01.7127520","","","","",""
"","","","","","","00:00:02.5125630","","","",""
"","","","","","","","00:00:02.1338992","","",""
"","","","","","","","","00:00:01.3250597","",""
"","","","","","","","","","00:00:01.5981198",""
"","","","","","","","","","","00:00:01.4217526"
"","","","","","","","00:00:00.0213919","","",""
"","","","","00:00:01.5081714","","","","","",""
"11","Who directed the 1983 film ET the Extra-Terrestrial?","Steven Spielberg","Drew Barrymore","Quentin Tarantino","Tom Hanks","Robin Williams","James Cameron","Stanley Kubrick","Martin Scorsese","Woody Allen"
"","","Highly Possitive","Moderately Negative","Idle","Idle","Slightly Negative","Moderately Negative","Slightly Possitive","Moderately Possitive","Highly Negative"
"","","","","00:00:02.8403906","","","","","",""
"","","00:00:01.5519545","","","","","","","",""
"","","","","","00:00:00.9556109","","","","",""
"","","","","","","","","00:00:01.0890580","",""
"","","","","","","","","","00:00:02.1851540",""
"","","","","","","00:00:01.4534723","","","",""
"","","","00:00:01.3033357","","","","","","",""
"","","","","00:00:01.1884265","","","","","",""
"","","","","","","","00:00:01.3447938","","",""
"","","","","","","","","","","00:00:01.3519498"
"","","","","","","","00:00:00.0449970","","",""
"","","","00:00:00.1782598","","","","","","",""
"","","00:00:01.8945549","","","","","","","",""
"12","What country is also known as Persia?","Poland","China","Lebanon","Saudi Arabia","France","Russia","Iran","Egypt","India"
"","","Moderately Possitive","Slightly Negative","Idle","Idle","Highly Negative","Moderately Negative","Highly Possitive","Slightly Possitive","Moderately Negative"
"","","00:00:02.7114621","","","","","","","",""
"","","00:00:01.4281748","","","","","","","",""
"","","","00:00:01.3254674","","","","","","",""
"","","","","00:00:01.2895084","","","","","",""
"","","","","","","","00:00:01.1851300","","",""
"","","","","","","00:00:01.7162831","","","",""
"","","","","","00:00:00.0679162","","","","",""
"","","","","","00:00:01.3355451","","","","",""
"","","","","","","","","00:00:01.2600087","",""
"","","","","","","","","","00:00:00.9065175",""
"","","","","","","","","","","00:00:00.8677227"
"","","","","","","","","","00:00:00.4117864",""
"","","","","","","","","00:00:01.5140973","",""
"13","The disease bronchitis is associated with:","Liver","Kidney","Sinuses","Lungs","Heart","Forhead Veins","Esophagus","Brain","Trachea"
"","","Moderately Negative","Moderately Possitive","Slightly Possitive","Highly Possitive","Moderately Negative","Slightly Negative","Idle","Idle","Highly Negative"
"","","","","","","","","00:00:02.4003533","",""
"","","","","","00:00:00.0222494","","","","",""
"","","00:00:00.2405756","","","","","","","",""
"","","00:00:01.5575926","","","","","","","",""
"","","","","","00:00:00.0232365","","","","",""
"","","","","","","","","00:00:01.6994749","",""
"","","","","","00:00:01.9464108","","","","",""
"","","","","","","00:00:00.5254670","","","",""
"","","","","","","","","","00:00:00.2848875",""
"","","","","","","","","","","00:00:00.3770098"
"","","","","","","","00:00:00.6734903","","",""
"","","","","00:00:00.5854989","","","","","",""
"","","","00:00:00.3283477","","","","","","",""
"","","","","","00:00:00.4003508","","","","",""
"","","","00:00:01.2081583","","","","","","",""
"","","","","","00:00:02.0512104","","","","",""
"14","World War I commenced in:","1940","1958","1963","1922","1953","1914","1901","1899","1880"
"","","Moderately Negative","Idle","Slightly Possitive","Highly Negative","Slightly Negative","Highly Possitive","Moderately Negative","Idle","Moderately Possitive"
"","","","","","00:00:03.6283848","","","","",""
"","","00:00:00.9554330","","","","","","","",""
"","","","00:00:01.2202936","","","","","","",""
"","","","","00:00:00.0231006","","","","","",""
"","","","","00:00:01.4137025","","","","","",""
"","","","","","","","00:00:01.7504077","","",""
"","","","","","","00:00:00.6564550","","","",""
"","","","","","00:00:01.3007493","","","","",""
"","","","","","","","","00:00:00.0451214","",""
"","","","","","","","","00:00:01.3514771","",""
"","","","","","","","","","00:00:00.8610959",""
"","","","","","","","","","","00:00:00.8857370"
"","","","","","","","00:00:01.3356052","","",""
"15","The small republic of San Marino is completely surrounded by which larger country?","Iran","India","Italy","Japan","Indonesia","Iceland","Israel","Ireland","Iraq"
"","","Moderately Possitive","Moderately Negative","Highly Possitive","Slightly Possitive","Slightly Negative","Moderately Negative","Idle","Idle","Highly Negative"
"","","","","","","","00:00:03.8324162","","",""
"","","","","00:00:00.0689739","","","","","",""
"","","00:00:00.9134665","","","","","","","",""
"","","","00:00:00.5898845","","","","","","",""
"","","","","00:00:01.9429193","","","","","",""
"","","","","","","","00:00:00.5987778","","",""
"","","","","","","","","","","00:00:00.8740308"
"","","","","","","","","","00:00:00.5745071",""
"","","","","","","00:00:00.7746159","","","",""
"","","","","","00:00:00.7807688","","","","",""
"","","","","","","","","00:00:00.7301032","",""
"","","","","","","00:00:00.0445805","","","",""
"","","","","00:00:01.5481824","","","","","",""
"16","What is cherry blossom known as in Japanese?","Sumach","Sakura","Samurai","Sirrah","Sonora","Sophora","Sayonara","Sudoku","Sarah"
